,Brand Name,Generic Name,Drug Type,Route,Dosage Form,Date
358,Alimta,PEMETREXED DISODIUM,HUMAN PRESCRIPTION DRUG,ORAL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",2020-04-27
359,Alinia,NITAZOXANIDE,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,TABLET,2021-02-11
360,ALIQOPA,COPANLISIB,HUMAN PRESCRIPTION DRUG,ORAL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",2019-11-18
361,Aliskiren,ALISKIREN HEMIFUMARATE,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,"TABLET, FILM COATED",2021-04-26
362,Alka Seltzer,CALCIUM CARBONATE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2018-10-06
363,ALKA SELTZER PLUS Cold Day and Night Effervescent,"ASPIRIN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,TABLET,2021-06-14
364,Alka-Seltzer Gold,ALKA-SELTZER GOLD,HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2018-10-06
365,"Alka-Seltzer <a class=""Link"" href=""/right-care/digestive-health/heartburn"" target=""_blank"">Heartburn</a>","ANHYDROUS CITRIC ACID, SODIUM BICARBONATE (HEAT-TREATED)",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2018-10-06
366,"Alka-Seltzer <a class=""Link"" href=""/right-care/digestive-health/heartburn"" target=""_blank"">Heartburn</a> Plus Gas ReliefChews Tropical Punch",CALCIUM CARBONATE AND SIMETHICONE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2021-02-11
367,"Alka-Seltzer <a class=""Link"" href=""/right-care/digestive-health/heartburn"" target=""_blank"">Heartburn</a> Relief Extra Strength","ANHYDROUS CITRIC ACID, SODIUM BICARBONATE (HEAT-TREATED)",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2021-10-11
368,"Alka-Seltzer <a class=""Link"" href=""/right-care/digestive-health/heartburn"" target=""_blank"">Heartburn</a> ReliefChews Strawberry and Orange",CALCIUM CARBONATE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2021-02-11
369,Alka-Seltzer Kids Tummy ReliefChews,CALCIUM CARBONATE AND DIMETHICONE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2021-03-08
370,Alka-Seltzer Plus,"ASPIRIN, CHLORPHENIRAMINE MALEATE, AND PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2020-01-13
371,Alka-Seltzer Plus Cold and Cough,"ASPIRIN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2021-02-11
372,"Alka-Seltzer Plus Cold and <a class=""Link"" href=""/right-care/lungs-breathing-and-respiration/cough"" target=""_blank"">Cough</a> Formula","ASPIRIN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, AND PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2018-10-06
373,Alka-Seltzer Plus Cold Night,"ASPIRIN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2021-02-11
374,Alka-Seltzer Plus Cold Orange Zest,"ASPIRIN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2021-02-11
375,"Alka-Seltzer Plus Maximum Strength Cold and <a class=""Link"" href=""/right-care/lungs-breathing-and-respiration/cough"" target=""_blank"">Cough</a>","ACETAMINOPHEN, CHLORPHENIRAMINE MALAEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2018-10-06
376,Alka-Seltzer Plus Maximum Strength Cold and Cough Liquid Gels with Cool Menthol Flavor Liquid Gels,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2018-12-17
377,Alka-Seltzer Plus Maximum Strength Cough and Mucus DM,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2020-01-13
378,Alka-Seltzer Plus Night Cold Formula (Lemon),"ASPIRIN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, AND PHENYLEPHRINE BITARTRATE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2018-10-06
379,Alka-Seltzer Plus Night Severe Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, AND PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"POWDER, FOR SOLUTION",2020-01-20
380,Alka-Seltzer Plus Severe Cold and Flu,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2018-10-06
381,Alka-Seltzer Plus Severe Cold and Flu PowerFast Fizz,"CHLORPHENIRAMINE MALEATE, ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE, DEXTROMETHORPHAN HYDROBROMIDE",HUMAN OTC DRUG,ORAL,"TABLET, EFFERVESCENT",2021-05-10
382,Alka-Seltzer Plus Severe Sinus Congestion and Cough Liquid Gels Day,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2018-10-06
383,"Alka-Seltzer Ultra Strength <a class=""Link"" href=""/right-care/digestive-health/heartburn"" target=""_blank"">Heartburn</a> ReliefChews",CALCIUM CARBONATE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2018-11-15
384,ALKERAN,MELPHALAN,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, FILM COATED",2018-12-03
385,Alkindi Sprinkle,HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,ORAL,GRANULE,2021-04-26
386,Alkums antacid,CALCIUM CARBONATE,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2018-10-06
387,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,CAPSULE,2018-11-15
388,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",CETIRIZINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-11-15
389,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",CETIRIZINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,SOLUTION,2018-12-10
390,All Day Allergy 24 hour,CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2019-09-23
391,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Antihistamine",CETIRIZINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,CAPSULE,2018-12-10
392,"all day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> d","CETIRIZINE HCL, PSEUDOEPHEDRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2018-12-10
393,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2019-12-09
394,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,CAPSULE,2018-12-31
395,"All Day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",LORATADINE,HUMAN OTC DRUG,ORAL,TABLET,2019-12-16
396,"all day <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief D","CETIRIZINE HCL, PSEUDOEPHEDRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2018-12-10
397,All Day Pain Relief,NAPROXEN SODIUM,HUMAN OTC DRUG,ORAL,TABLET,2018-12-17
398,"All Day <a class=""Link"" href=""/right-care/symptoms-and-conditions/pain"" target=""_blank"">Pain</a> Relief",NAPROXEN SODIUM,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2019-12-30
399,all day relief,NAPROXEN SODIUM,HUMAN OTC DRUG,ORAL,TABLET,2018-11-15
400,All Day Relief,NAPROXEN SODIUM,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2021-08-16
401,All Day Sinus and Cold D,"NAPROXEN SODIUM, PSEUDOEPHEDRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2019-03-04
402,Allegenal-M,BENZOCAINE,HUMAN OTC DRUG,ORAL,CREAM,2018-10-06
403,ALLEGRA,FEXOFENADINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,TOPICAL,SUSPENSION,2018-10-05
404,"<a class=""Link"" href=""/drugs/allegra"" target=""_blank"">Allegra</a> <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",FEXOFENADINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,TABLET,2020-02-03
405,"<a class=""Link"" href=""/drugs/allegra"" target=""_blank"">Allegra</a> Cooling Relief Anti-Itch","DIPHENHYDRAMINE HCL, ALLANTOIN",HUMAN OTC DRUG,ORAL,CREAM,2018-10-06
406,Allegra-D Allergy and Congestion,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,HUMAN OTC DRUG,TOPICAL,"TABLET, FILM COATED, EXTENDED RELEASE",2019-12-09
407,Aller-chlor,CHLORPHENIRAMINE MALEATE,HUMAN OTC DRUG,ORAL,SYRUP,2019-09-09
408,Aller-chlor,CHLORPHENIRAMINE MALEATE,HUMAN OTC DRUG,ORAL,TABLET,2019-04-01
409,Allerdine,TRIPROLIDINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,LIQUID,2020-01-27
410,Allerest PE,CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,TABLET,2018-10-06
411,Allerfed,CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2018-11-15
412,"Allerfed Cold and <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2018-10-06
413,"Allerfed Cold and <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> PE","CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,TABLET,2018-12-31
414,Allergenic Extracts Standardized Mite,DERMATOPHAGOIDES FARINAE,HUMAN PRESCRIPTION DRUG,ORAL,CONCENTRATE,2019-10-14
415,Allergo Kids PLUS,CETIRIZINE HCL,HUMAN OTC DRUG,"INTRADERMAL, SUBCUTANEOUS",LIQUID,2019-03-04
416,allergy,DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,CAPSULE,2018-11-15
417,allergy,LORATADINE,HUMAN OTC DRUG,ORAL,TABLET,2018-11-15
418,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a>",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,TABLET,2018-11-26
419,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a>",CHLORPHENIRAMINE MALEATE,HUMAN OTC DRUG,ORAL,TABLET,2021-08-30
420,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">ALLERGY</a> 24-HR",FEXOFENADINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-12-10
421,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> and Congestion Relief","LORATADINE, PSEUDOEPHEDRINE",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2018-10-06
422,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> and congestion relief","LORATADINE, PSEUDOEPHEDRINE SULFATE",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2019-06-10
423,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> and congestion relief d original prescription strength","CETIRIZINE HCL, PSEUDOEPHEDRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2021-02-11
424,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> and Pain Relief Multi-Symptom","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2020-03-16
425,Allergy and Sinus Headache,"ACETAMINOPHEN, DIPHENHYDRAMINE HCL AND PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2020-04-06
426,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Antihistamine",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,CAPSULE,2021-05-10
427,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Antihistamine",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,TABLET,2019-10-07
428,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> childrens",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,SOLUTION,2019-03-04
429,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Childrens",LORATADINE,HUMAN OTC DRUG,ORAL,LIQUID,2019-04-08
430,Allergy Childrens,DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,LIQUID,2019-12-23
431,"Allergy Childrens <a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a>",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,LIQUID,2019-12-16
432,Allergy Eye Drops,KETOTIFEN FUMARATE,HUMAN OTC DRUG,ORAL,SOLUTION/ DROPS,2019-12-30
433,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Medicine",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,OPHTHALMIC,TABLET,2021-02-11
434,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Multi Symptom","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, AND PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"TABLET, COATED",2021-03-15
435,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Multi Symptom","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-11-15
436,Allergy Multi-Symptom,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, AND PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"TABLET, COATED",2019-09-02
437,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Multi-Symptom","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-11-15
438,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Multisymptom","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, AND PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"TABLET, COATED",2021-03-15
439,Allergy Nasal,FLUTICASONE PROPIONATE,HUMAN OTC DRUG,ORAL,"SPRAY, METERED",2019-01-28
440,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Plus Congestion","DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL",HUMAN OTC DRUG,NASAL,"TABLET, FILM COATED",2019-04-29
441,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Plus Sinus <a class=""Link"" href=""/right-care/migraine-and-headache/headache"" target=""_blank"">Headache</a>","ACETAMINOPHEN, DIPHENHYDRAMINE HCL AND PHENYLEPHRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2019-09-23
442,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Plus Sinus <a class=""Link"" href=""/right-care/migraine-and-headache/headache"" target=""_blank"">Headache</a>","ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, AND PHENYLEPHRINE HYDROCHLORIDE",HUMAN OTC DRUG,ORAL,"TABLET, COATED",2019-10-07
443,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Plus Sinus Relief",DIPHENHYDRAMINE HCL AND PHENYLEPHRINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2018-10-06
444,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Rapid Melts Childrens",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2018-10-06
445,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, COATED",2021-03-22
446,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-11-15
447,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief",FEXOFENADINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2018-11-26
448,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",CETIRIZINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,SOLUTION,2018-12-17
449,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,CAPSULE,2019-12-23
450,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",CETIRIZINE HCL 10 MG,HUMAN OTC DRUG,ORAL,TABLET,2020-03-23
451,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",LORATADINE,HUMAN OTC DRUG,ORAL,"TABLET, ORALLY DISINTEGRATING",2018-10-06
452,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,CAPSULE,2018-11-15
453,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief",CHLORPHENIRAMINE MALEATE,HUMAN OTC DRUG,ORAL,TABLET,2019-04-29
454,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",LEVOCETIRIZINE DIHYDROCHLORIDE,HUMAN OTC DRUG,ORAL,"TABLET, COATED",2019-12-16
455,Allergy Relief,FEXOFENADINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, COATED",2019-12-16
456,Allergy Relief,DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2020-04-20
457,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",FLUTICASONE PROPIONATE,HUMAN OTC DRUG,ORAL,"SPRAY, METERED",2021-07-26
458,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",LORATADINE,HUMAN OTC DRUG,NASAL,"CAPSULE, LIQUID FILLED",2021-08-30
459,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,SOLUTION,2021-10-25
460,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief 24HR",LEVOCETIRIZINE DIHYDROCHLORIDE,HUMAN OTC DRUG,ORAL,TABLET,2021-02-11
461,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief 4 Hour",CHLORPHENIRAMINE MALEATE,HUMAN OTC DRUG,ORAL,TABLET,2021-05-10
462,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief All Day",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2019-12-16
463,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Antihistamine",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2018-12-31
464,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Antihistamine",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2019-12-23
465,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Caplet",DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED",2021-05-10
466,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Childrens",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2021-04-12
467,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief childrens",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,SOLUTION,2020-02-03
468,Allergy Relief Childrens,DIPHENHYDRAMINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,LIQUID,2019-10-07
469,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief childrens indoor/outdoor",CETIRIZINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, CHEWABLE",2018-10-06
470,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Complete",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2021-02-11
471,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Complete",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,CAPSULE,2020-02-24
472,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief d","LORATADINE, PSEUDOEPHEDRINE SULFATE",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2021-02-11
473,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief D","CETIRIZINE HCL, PSEUDOEPHEDRINE HCL",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2018-12-17
474,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief d 12","LORATADINE, PSEUDOEPHEDRINE SULFATE",HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2021-02-11
475,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">allergy</a> relief d 12 hour","LORATADINE, PSEUDOEPHEDRINE",HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2019-11-18
476,Allergy Relief Dye Free,DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2019-10-21
477,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Dye-Free",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2021-05-17
478,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Dye-Free",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2018-11-15
479,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Dye-Free Liquid Gels",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2019-11-18
480,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Extra Strength Nighttime",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,TABLET,2018-10-06
481,Allergy Relief Multi-Symptom,"ACETAMINOPHEN, PHENYLEPHRINE HCL, CHLORPHENIRAMINE MALEATE",HUMAN OTC DRUG,ORAL,TABLET,2019-12-16
482,allergy relief nasal,FLUTICASONE PROPIONATE,HUMAN OTC DRUG,ORAL,"SPRAY, METERED",2021-06-14
483,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief Non drowsy",LORATADINE,HUMAN OTC DRUG,NASAL,TABLET,2021-03-15
484,Allergy Relief non drowsy,FEXOFENADINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, COATED",2019-12-09
485,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief non-drowsy",FEXOFENADINE HCL,HUMAN OTC DRUG,ORAL,"TABLET, COATED",2021-10-11
486,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> relief-D",CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2019-06-03
487,ALLERGY RELIEF-D,LORATADINE AND PSEUDOEPHEDRINE,HUMAN OTC DRUG,ORAL,"TABLET, FILM COATED, EXTENDED RELEASE",2019-12-23
488,Allergy Relief-D 24 Hour 24 Hour,LORATADINE AND PSEUDOEPHEDRINE SULFATE,HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2019-11-18
489,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Relief-D24 Hour 24 Hour",LORATADINE AND PSEUDOEPHEDRINE SULFATE,HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",2019-04-15
490,"<a class=""Link"" href=""/right-care/allergies/allergies"" target=""_blank"">Allergy</a> Softgel",DIPHENHYDRAMINE HCL,HUMAN OTC DRUG,ORAL,"CAPSULE, LIQUID FILLED",2020-03-23
491,Alleviate,MENTHOL,HUMAN OTC DRUG,ORAL,OINTMENT,2019-02-04
492,ALLI,ORLISTAT,HUMAN OTC DRUG,RECTAL,CAPSULE,2018-10-06
493,Allopurinol,ALLOPURINOL,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,2018-10-11
